Title,Rating,Popular,SalesPerWeek,Price,ReqSpec,Overall
Chaotic: Shadow Warriors,Average,Yes,16,22,Medium,Bad
Leisure Suit Larry: Box Office Bust,Average,Yes,35,13,Medium,Good
Alien Resurrection,Low,Yes,38,36,Low,Bad
World Tour Soccer 2005,High,No,43,26,Medium,Good
Dungeon Siege: Throne of Agony,High,Yes,47,17,Medium,Good
Spider-Man: Web of Shadows - Amazing Allies Edition,High,No,49,15,High,Good
F1 2011,Average,No,41,24,High,Good
Rio,Low,No,29,40,High,Bad
Gunslingers,Average,No,20,26,Low,Bad
Create,High,Yes,35,18,Medium,Good
Lufia: Curse of the Sinistrals,Low,Yes,21,34,Medium,Bad
El Shaddai: Ascension of the Metatron,Average,Yes,24,29,Medium,Good
ESPN College Hoops,Low,Yes,42,37,High,Bad
Thor: God of Thunder,High,Yes,42,26,High,Good
F1 Championship Season 2000,High,Yes,48,36,Low,Good
Guilty Gear Judgment,High,Yes,32,17,Medium,Good
Pen 1 Grand Prix: Penguin no Mondai Special,Low,No,33,25,High,Bad
Clash of the Titans,Average,No,48,35,High,Good
Around the World in 80 Days,High,No,17,10,High,Bad
Robotech: Battlecry,High,Yes,31,36,Low,Good
True Swing Golf,Average,No,33,24,High,Good
Zapper: One Wicked Cricket!,Average,No,38,31,High,Good
Bomberman Land,High,No,45,26,Low,Good
Paws & Claws: Pet Resort,Low,No,24,19,Low,Bad
Kya: Dark Lineage,Low,Yes,49,35,Low,Bad
Dynasty Warriors 8: Xtreme Legends,Average,No,37,21,Medium,Good
Curious George,Low,Yes,19,23,High,Bad
Monster Jam,Average,Yes,45,16,High,Good
Medieval Games,Average,Yes,33,32,Medium,Good
Stronghold 3,Average,Yes,42,29,High,Good
The Amazing Spider-Man (Console Version),High,Yes,41,30,High,Good
Kid Adventures: Sky Captain,High,Yes,14,30,High,Good
Lethal Skies II,Average,Yes,50,17,High,Good
Doctor Lautrec and the Forgotten Knights,High,No,14,39,High,Bad
Disney's American Dragon Jake Long: Attack of the Dark Dragon,Average,No,38,10,Medium,Good
Godzilla Unleashed,High,No,16,28,Medium,Bad
Kamaitachi no Yoru × 3,High,No,29,27,High,Good
Tom and Jerry: Infurnal Escape,Average,Yes,50,11,Medium,Good
The Legend of Heroes VII: The Trail of Zero,Average,No,25,33,High,Good
Warriors Orochi 3,Average,Yes,11,30,Low,Good
King's Field,Low,Yes,41,24,Medium,Bad
Hannah Montana: Rock Out the Show,High,Yes,30,23,Low,Good
Let's Ride: Sunshine Stables,High,No,28,39,Low,Good
World Stadium 4,High,No,34,33,Medium,Good
Midway Arcade Treasures 2,Average,Yes,22,20,Low,Good
Hot Wheels World Race,High,No,27,34,High,Good
San Goku Shi Taisen DS,High,Yes,38,36,Medium,Good
Kawa no Nushi Tsuri,High,Yes,42,11,High,Good
N2O: Nitrous Oxide,High,Yes,32,20,Low,Good
Magic: The Gathering - Battlegrounds,High,Yes,17,37,Medium,Good
Heroes over Europe,High,No,12,30,Low,Bad
Dancing With The Stars,High,No,43,30,Medium,Good
Major League Baseball 2K12,High,Yes,43,32,Medium,Good
Pro Evolution Soccer 2015,Low,No,43,32,High,Bad
Bladestorm: Nightmare,High,Yes,35,20,Medium,Good
Otogirisou,High,Yes,23,27,High,Good
SD Gundam G Generation 3D,Low,Yes,46,26,High,Bad
Crash Tag Team Racing,High,No,45,18,Low,Good
Grease Dance,Average,No,49,28,Low,Good
Ready 2 Rumble Revolution,Low,No,23,13,High,Bad
My Baby 3 & Friends,Average,No,38,15,Medium,Good
NASCAR '14,Average,No,15,36,High,Bad
TimeSplitters: Future Perfect,High,Yes,36,32,High,Good
Midway Arcade Treasures 3,High,Yes,34,24,Medium,Good
Dr. Muto,High,No,16,15,Medium,Bad
Beowulf: The Game,Low,Yes,28,17,Medium,Bad
Puzzle Quest: Galactrix,Average,No,27,37,Low,Good
DS Rakubiki Jiten,Average,Yes,46,19,Medium,Good
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Average,Yes,37,39,High,Good
Fatal Frame II: Crimson Butterfly,Low,Yes,43,10,Medium,Bad
Angry Birds Trilogy,High,Yes,48,12,Low,Good
Dewy's Adventure,High,No,18,16,High,Bad
Shadow Man: 2econd Coming,High,Yes,34,13,Medium,Good
Yu-Gi-Oh! 5D's Tag Force 6,Average,No,14,14,Medium,Bad
NPPL: Championship Paintball 2009,Average,Yes,40,33,High,Good
Dynasty Warriors 4,High,Yes,31,32,High,Good
Wakeboarding Unleashed Featuring Shaun Murray,Low,Yes,46,37,Medium,Bad
The Incredibles: Rise of the Underminer,Low,Yes,19,11,Low,Bad
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,Low,Yes,29,35,Medium,Bad
Alone in the Dark: The New Nightmare,High,No,45,16,Medium,Good
The BIGS,High,No,47,24,Medium,Good
Flushed Away,High,No,21,17,High,Good
Eragon,Low,No,31,10,Low,Bad
Scarface: Money. Power. Respect.,High,No,45,31,High,Good
Summon Night EX-Thesis: Yoake no Tsubasa,High,Yes,37,33,High,Good
Pro Yaky? Spirits 3,Average,Yes,43,28,Low,Good
Silent Scope 3,High,No,47,10,Low,Good
World Series of Poker: Tournament of Champions 2007 Edition,High,Yes,34,20,Low,Good
NASCAR Heat 2002,Low,Yes,35,38,High,Bad
Namco Classic Fighter Collection,Average,Yes,41,10,Medium,Good
International Superstar Soccer Deluxe,Low,No,20,23,Low,Bad
TNA iMPACT!,Average,No,33,19,Low,Good
Intellivision Lives!,Average,Yes,24,32,Medium,Good
Field Commander,Low,Yes,10,25,Medium,Bad
Robots,High,Yes,13,31,High,Good
Little League World Series Baseball 2009,Low,Yes,37,30,Medium,Bad
The King of Fighters XII,High,No,49,25,Medium,Good
Doctor Who: Evacuation Earth,Average,No,46,11,High,Good
Murdered: Soul Suspect,Average,Yes,41,13,Medium,Good
Ener-G: Dance Squad,High,No,47,15,Low,Good
Our House,Average,No,23,32,Medium,Good
SimEarth: The Living Planet,Average,No,14,25,Medium,Bad
Major League Baseball 2K11,High,Yes,13,33,Low,Good
Sengoku Basara: Chronicle Heroes,Average,No,39,17,High,Good
NBA 2K12,Low,Yes,13,22,High,Bad
The Wild Thornberrys: Chimp Chase,Average,No,49,26,High,Good
Power Stakes,High,No,25,37,Low,Good
Fighters Destiny,Average,Yes,38,40,Low,Good
Asteroids Hyper 64,Average,Yes,15,17,Medium,Bad
The Powerpuff Girls: Chemical X-Traction,High,Yes,46,25,Medium,Good
Jikkyou Powerful Pro Yakyuu Basic-han 2001,High,No,32,13,Medium,Good
Tom and Jerry in Fists of Furry,High,No,20,29,Medium,Bad
Hydro Thunder,Low,No,17,30,Medium,Bad
Space Invaders,Average,No,26,15,Medium,Good
Starcraft 64,Low,No,12,23,Low,Bad
Destruction Derby 64,High,Yes,26,29,Low,Good
Buck Bumble,High,No,27,24,High,Good
California Speed,High,Yes,14,12,High,Good
Wonder Project J2: Koruro no Mori no Josette,Low,Yes,36,23,Medium,Bad
Culdcept SAGA,Average,No,21,37,Medium,Good
Take A Break's: Puzzle Master,High,Yes,45,14,Medium,Good
Dragon Ball: Origins 2,High,Yes,41,26,Medium,Good
Minna no DS Seminar: Kanpeki Kanji Ryoku,Average,No,30,40,Medium,Good
Innocent Life: A Futuristic Harvest Moon,Low,No,21,26,Low,Bad
The Crew,High,No,24,13,Medium,Good
Macross Ace Frontier,High,No,32,40,High,Good
Black & Bruised,High,Yes,14,31,High,Good
Sherlock Holmes vs. Jack the Ripper,Average,Yes,28,20,Low,Good
.hack//G.U. Vol.2//Reminisce (jp sales),High,Yes,43,22,High,Good
Rapala Pro Fishing,Average,No,19,35,High,Bad
TimeShift,Average,No,46,21,Medium,Good
Blitz: The League,High,No,11,17,High,Bad
Scripps Spelling Bee,High,Yes,46,39,High,Good
MotionSports: Adrenaline,High,Yes,12,10,Medium,Good
Ener-G Horse Riders,Average,Yes,14,24,Medium,Bad
Time Hollow,Average,No,30,20,High,Good
Farming Simulator 2013,High,Yes,49,35,Low,Good
Rudolph the Red-Nosed Reindeer,High,Yes,27,38,High,Good
Shinobido 2: Tales of the Ninja,High,Yes,32,13,High,Good
SpongeBob's Truth or Square,Average,No,44,36,Low,Good
Ghost in the Shell: Stand Alone Complex,Average,No,14,25,Medium,Bad
Rondo of Swords (US sales),High,Yes,27,26,High,Good
Bulletstorm,Low,No,18,11,Medium,Bad
Battle Soccer: Field no Hasha,High,Yes,23,23,Low,Good
Shaun White Skateboarding,High,Yes,19,40,High,Good
MLB 11: The Show,High,No,29,26,Low,Good
Vegas Party,Low,No,49,21,Medium,Bad
Amped 3,High,Yes,47,37,Medium,Good
Family Party: 30 Great Games Outdoor Fun,Average,No,14,30,Low,Bad
FlatOut 2,High,Yes,23,23,High,Good
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,Low,Yes,17,38,Medium,Bad
FIFA Soccer 96,High,Yes,14,30,High,Good
Burger Island,High,No,48,27,Low,Good
Dynasty Warriors 8,High,Yes,49,25,Medium,Good
NCAA Final Four 2001,Average,No,22,15,High,Good
Tak and the Guardians of Gross,High,Yes,28,12,Low,Good
Just Dance: Disney Party,Low,No,29,19,Medium,Bad
LEGO The Lord of the Rings,High,No,18,22,Medium,Bad
Dengeki Bunko Fighting Climax,Average,No,15,26,High,Bad
J-League Jikkyou Winning Eleven 2000,High,Yes,45,35,High,Good
Eve: The Lost One,High,No,50,39,Medium,Good
Chessmaster: The Art of Learning,Average,No,34,34,Low,Good
Yu-Gi-Oh! 5D's: Duel Transer,Average,No,48,14,Low,Good
LEGO Legends of Chima: Laval's Journey,High,Yes,45,21,Medium,Good
Konami Krazy Racers,Average,Yes,44,28,High,Good
Saturday Night Slam Masters,Low,Yes,44,27,Low,Bad
Blitz: The League II,Low,No,44,21,High,Bad
F-Zero: GP Legend,Low,Yes,33,15,High,Bad
Racing Lagoon,High,No,44,21,High,Good
Victorious: Hollywood Arts Debut,Average,Yes,31,38,Low,Good
Mr. Driller 2,High,No,46,36,High,Good
Just Sing!,High,Yes,30,21,Low,Good
Darksiders II,High,No,18,13,Medium,Bad
Dragon's Lair Trilogy,High,No,24,15,High,Good
Trivial Pursuit: Bet You Know It,Average,Yes,48,33,Low,Good
Imagine: Ice Champions,Average,No,41,34,Medium,Good
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,High,Yes,45,24,High,Good
Nicktoons: MLB,High,No,24,12,Medium,Good
Sniper: Ghost Warrior,High,Yes,24,16,Medium,Good
Left Brain Right Brain: Use Both Hands Train Both Sides,High,No,18,17,Low,Bad
Rio,Low,Yes,10,33,Low,Bad
Power Rangers Double Pack,Average,Yes,25,37,Low,Good
Mugen Souls,High,No,10,19,High,Bad
Yakuza Kiwami,High,No,16,19,Medium,Bad
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,Low,No,16,22,Low,Bad
"BCFX: The Black College Football Xperience, The Doug Williams Edition",High,Yes,24,38,Low,Good
FIFA Soccer 97,High,No,48,29,High,Good
Saw II: Flesh & Blood,Average,Yes,44,20,Medium,Good
Psychic Force,High,Yes,24,32,Medium,Good
Trigger Man,Average,No,14,11,High,Bad
Bomberman Land Touch! 2,High,No,13,13,Low,Bad
Michael Jackson: The Experience,Low,Yes,10,23,Medium,Bad
The Godfather: Blackhand Edition,High,No,22,12,Medium,Good
StarBlade α,Average,No,36,28,High,Good
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,High,No,29,39,High,Good
Tiger Woods PGA Tour 2004,High,No,43,29,Low,Good
Monster House,High,Yes,43,27,High,Good
Angry Birds Star Wars,High,Yes,28,39,High,Good
Backyard Sports: Sandlot Sluggers,High,Yes,13,37,Low,Good
Guilty Gear Xrd: Sign,Average,No,35,15,Low,Good
Arcade Zone,High,Yes,29,26,Medium,Good
SpongeBob's Boating Bash,Average,No,47,31,High,Good
7th Dragon III Code: VFD,Average,Yes,49,33,High,Good
DiRT 3,Average,No,36,10,High,Good
Culdcept,High,No,33,22,High,Good
Birds of Steel,High,No,33,32,Low,Good
Rudolph the Red-Nosed Reindeer,Average,No,29,17,Low,Good
WWE '13,Average,Yes,49,39,Medium,Good
MX 2002 Featuring Ricky Carmichael,High,Yes,17,27,Medium,Good
Halo Triple Pack,Average,No,41,19,Medium,Good
Street Racer,Low,No,43,38,Medium,Bad
Bomberman,Low,Yes,38,38,Low,Bad
NBA 2K3,Low,No,32,11,Low,Bad
Arcana Heart,Average,No,43,28,High,Good
NHL 2005,High,Yes,33,14,High,Good
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,High,Yes,13,31,Low,Good
Infected,High,No,45,22,High,Good
Battlestar Galactica,High,Yes,16,27,High,Good
The Walking Dead: Season One,Average,No,34,15,Low,Good
Kingdom Hearts: Birth by Sleep - Final Mix,High,No,15,29,Low,Bad
Bust-A-Move Bash!,High,Yes,39,30,High,Good
Block Party,Low,Yes,40,12,Low,Bad
Toriko: Gourmet Monsters!,High,No,36,39,Medium,Good
The Incredible Hulk: The Pantheon Saga,High,Yes,10,34,Low,Good
Darksiders II,High,No,49,20,Low,Good
Megamind: Ultimate Showdown,Low,No,33,34,Medium,Bad
The Idolm@ster 2,Average,Yes,44,24,Medium,Good
Space Camp,High,No,48,32,High,Good
Imagine: Music Fest,High,No,20,40,High,Bad
AC/DC LIVE: Rock Band Track Pack,Average,Yes,25,25,High,Good
Senran Kagura: Sh?jo-tachi no Shinei,High,No,48,36,Low,Good
Ultimate Spider-Man,High,Yes,18,37,Low,Good
Fist of the North Star: Ken's Rage,High,Yes,15,28,Low,Good
Jurassic Park: The Game,High,No,36,11,High,Good
He-Man: Power of Grayskull,High,Yes,46,37,Medium,Good
WordJong,High,No,50,21,Low,Good
Putty Squad,Low,No,42,31,Medium,Bad
Polaris SnoCross,High,Yes,39,28,High,Good
Wing Commander III: Heart of the Tiger,High,Yes,14,12,High,Good
Top Spin 4,Average,Yes,43,14,Low,Good
Prince of Persia: The Forgotten Sands,Average,No,18,27,Low,Bad
Mat Hoffman's Pro BMX 2,High,Yes,10,25,Low,Good
Muppet RaceMania,High,No,37,15,High,Good
Namco Museum Vol.5,High,No,15,11,Low,Bad
Courier Crisis,High,Yes,17,17,Low,Good
Bleach: Dark Souls,Average,No,28,40,High,Good
The Oregon Trail,Average,Yes,20,12,High,Bad
Digimon Battle Spirit 2,Average,Yes,45,38,Medium,Good
Winning Post 3,Average,No,33,31,Low,Good
FIFA 06: Road to FIFA World Cup,Low,No,46,24,High,Bad
Driven,Average,No,44,39,Low,Good
F.E.A.R. 3,High,No,41,21,High,Good
de Blob 2,High,Yes,35,19,High,Good
"Warhammer 40,000: Fire Warrior",High,Yes,50,17,High,Good
Hot Wheels: Battle Force 5,High,No,27,11,Medium,Good
James Noir's Hollywood Crimes,High,Yes,18,11,Medium,Good
Deadly Premonition,High,No,44,23,Medium,Good
Bomberman,High,Yes,24,12,Low,Good
MTV Music Generator 2,Average,No,37,38,High,Good
The Quest Trio,High,No,30,11,Medium,Good
Chaotic: Shadow Warriors,Low,No,17,25,Medium,Bad
Space Invaders Extreme,Average,Yes,42,28,Medium,Good
Burnout 2: Point of Impact,Average,Yes,21,21,Medium,Good
Paris-Dakar Rally,Low,Yes,22,16,Low,Bad
All-Pro Football 2K8,High,No,34,29,Low,Good
Dragon Ball Z: Harukanaru Densetsu (JP sales),High,Yes,17,12,Low,Good
Atelier Iris: Eternal Mana,High,Yes,32,25,High,Good
Blinx 2: Masters of Time & Space,Low,No,38,24,Medium,Bad
Stormrise,Average,Yes,17,15,High,Bad
NHL 2K10,High,No,15,25,Medium,Bad
FIFA Street 2,High,Yes,22,36,Medium,Good
Tak: The Great Juju Challenge,High,No,39,10,Medium,Good
Deponia,High,No,33,25,Low,Good
Harvest Moon: The Lost Valley,Low,No,49,22,Medium,Bad
Knockout Kings 2003,High,No,22,17,Low,Good
NCAA Football 2004,High,Yes,38,37,Low,Good
XGIII: Extreme G Racing,Low,Yes,13,25,Medium,Bad
NHL 17,High,No,28,32,Low,Good
Jewel Quest Solitaire,Low,No,16,40,High,Bad
Metal Gear Solid V: Ground Zeroes,Average,Yes,17,35,Medium,Bad
Digimon World 4,High,No,43,25,Low,Good
Cars: Race-O-Rama,Average,No,27,37,Low,Good
Disney's Story Studio: Disney's Mulan,High,No,36,11,Medium,Good
Klax,Average,No,46,30,Medium,Good
Pressure Cooker,High,Yes,38,40,Low,Good
Saturn Bomberman,High,Yes,20,37,Low,Good
Home Run,High,No,34,30,Low,Good
Jikkyou Powerful Pro Yakyuu Portable,Low,No,17,10,High,Bad
The Adventures of Tintin: The Game,Low,No,24,34,Low,Bad
American Chopper,High,No,10,38,Low,Bad
Sonny with a Chance,High,Yes,42,33,Low,Good
Murdered: Soul Suspect,Average,Yes,48,19,Low,Good
Farm Frenzy: Animal Country,Low,No,32,23,Medium,Bad
Kingdom Under Fire: Heroes,Average,Yes,13,19,High,Bad
Wolfenstein: The Old Blood,Average,No,32,20,Low,Good
The Terminator: Dawn of Fate,High,No,35,38,Medium,Good
Cartoon Network Collection: Game Boy Advance Video Special Edition,Low,Yes,12,32,Medium,Bad
Naruto Shippuden: Legends: Akatsuki Rising,High,Yes,23,15,Medium,Good
Scooby-Doo! Unmasked,High,No,19,27,Medium,Bad
Streak: Hoverboard Racing,High,Yes,50,36,Medium,Good
Samurai Warriors: Katana,Low,Yes,36,26,High,Bad
Project Sylpheed: Arc of Deception,High,Yes,12,21,Low,Good
Enthusia Professional Racing,High,No,41,30,High,Good
NCAA GameBreaker 2001,Low,Yes,22,21,High,Bad
Get On Da Mic,High,Yes,26,19,High,Good
Heroes of Mana,Average,Yes,45,38,Low,Good
Jurassic: The Hunted,Average,No,32,37,Low,Good
Army Men: Sarge's War,High,No,16,31,High,Bad
Horse Life Adventures,High,No,29,13,Medium,Good
Amagami,High,Yes,47,35,Low,Good
Ice Age 2: The Meltdown,Low,Yes,40,20,High,Bad
Jikkyou Powerful Pro Yakyuu 2009,Average,Yes,17,25,High,Good
Blazing Angels 2: Secret Missions of WWII,Low,No,43,10,High,Bad
Bigfoot: Collision Course,Low,Yes,34,31,High,Bad
Marvel Super Hero Squad: The Infinity Gauntlet,High,No,48,20,Medium,Good
Kidou Senkan Nadesico,High,Yes,10,35,High,Good
Tears to Tiara II: Heir of the Overlord,High,Yes,11,28,Low,Good
Frogger's Adventures: The Rescue,Low,No,16,19,Medium,Bad
The Incredibles: Rise of the Underminer,High,Yes,48,19,Low,Good
Darksiders,High,Yes,43,29,Medium,Good
The Secret Saturdays: Beasts of the 5th Sun,Average,Yes,46,16,High,Good
Countdown: The Game,High,No,19,33,High,Bad
Active Life Explorer,High,Yes,10,34,Low,Good
MLB Power Pros 2008,Low,No,49,37,Low,Bad
The Fairly Odd Parents: Clash with the Anti-World,Average,Yes,13,31,Medium,Bad
Theatrhythm Dragon Quest,High,No,13,24,Low,Bad
Major League Baseball 2K10,Average,No,38,40,Medium,Good
Naruto: Powerful Shippuden,High,Yes,28,14,Medium,Good
Disney's The Lion King: Simba's Mighty Adventure,High,No,20,20,Medium,Bad
Family Party: Fitness Fun,High,No,10,28,High,Bad
Thor: God of Thunder,Low,No,32,13,High,Bad
Fantastic Four: Rise of the Silver Surfer,Average,No,26,23,High,Good
Metal Slug Anthology,High,No,13,35,Low,Bad
GoldenEye 007 (2010),Average,No,27,40,Medium,Good
Jikkyou Powerful Pro Yakyuu 2012,Average,No,12,14,Medium,Bad
All Japan Pro Wrestling featuring Virtua,Average,Yes,28,40,Medium,Good
Rudra no Hihou,High,Yes,23,33,Medium,Good
Gundam Breaker 2,Average,Yes,38,32,Medium,Good
Prince of Persia: The Sands of Time,High,No,29,10,Medium,Good
Cake Mania: In The Mix!,Average,Yes,20,25,High,Bad
Zoids: Battle Legends,High,No,34,14,Low,Good
World Series Baseball 2K3,High,Yes,43,15,High,Good
Serious Sam,High,No,12,34,Medium,Bad
Kowloon's Gate,High,Yes,48,29,High,Good
Killer7,Average,Yes,34,15,Medium,Good
Kingdom of Paradise,High,Yes,15,36,Medium,Good
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,High,Yes,31,17,High,Good
NBA Street Homecourt,High,No,34,20,Low,Good
The Sims Medieval: Pirates and Nobles,High,No,48,26,Low,Good
The Cursed Crusade,High,Yes,37,32,Low,Good
Super Monkey Ball Adventure,High,Yes,39,16,Medium,Good
Kids Learn Math: A+ Edition,Average,No,40,17,Medium,Good
FIFA Soccer 2002,High,Yes,24,17,High,Good
Build-A-Bear Workshop: Welcome to Hugsville,High,Yes,37,12,Medium,Good
Street Fighter Anniversary Collection,Average,Yes,31,40,Low,Good
Final Fantasy XI: Vana'diel Collection 2008,Average,No,29,10,Medium,Good
Suzumiya Haruhi no Yakusoku,High,Yes,33,37,Low,Good
Shadow Ops: Red Mercury,High,Yes,15,25,Medium,Good
Indigo Prophecy,Low,No,41,38,High,Bad
Mind Zero,High,No,33,17,Medium,Good
World League Soccer,Low,Yes,47,20,Medium,Bad
NBA ShootOut 2001,Average,No,23,16,Low,Good
Earth Defense Force 2025,High,Yes,17,10,High,Good
Spider-Man: Friend or Foe,High,No,25,21,Medium,Good
Ultimate Board Game Collection,High,Yes,11,35,Low,Good
Syndicate,Low,No,14,20,High,Bad
Samurai Shodown Anthology,High,Yes,35,21,Medium,Good
NBA 09: The Inside,High,Yes,10,20,Low,Good
Musashi: Samurai Legend,Low,No,35,39,Low,Bad
Saint Seiya: Soldiers' Soul,High,No,15,23,High,Bad
Terraria,Average,Yes,24,26,Low,Good
Castlevania: Lords of Shadow - Mirror of Fate,Average,Yes,30,23,High,Good
3rd Super Robot Wars Z: Tengoku-Hen,High,No,42,33,High,Good
Fantasia: Music Evolved,High,No,50,39,High,Good
Pokémon: Johto Photo Finish: Game Boy Advance Video,Average,No,10,23,Low,Bad
F1 2001,Average,No,20,26,Medium,Bad
The Legend of Heroes: Trails of Cold Steel II,High,No,12,36,Medium,Bad
Top Gun: Combat Zones,Low,Yes,44,11,Medium,Bad
J-League Victory Goal,Average,Yes,18,13,Low,Bad
Bakugan Battle Brawlers: Defenders of the Core,High,Yes,44,24,High,Good
Oreshika: Tainted Bloodlines,High,No,32,11,High,Good
White Knight Chronicles: Origins,Average,No,35,13,Low,Good
Return to PopoloCrois: A Story of Seasons Fairytale,High,No,46,18,Medium,Good
Spongebob Squarepants / Fairly Odd Parents Double Pack,Average,No,12,23,High,Bad
History Civil War: Secret Missions,Average,Yes,31,26,Medium,Good
NHL 09,Average,Yes,37,18,Low,Good
Mirror's Edge Catalyst,High,No,10,18,Medium,Bad
Derby Stallion 64,High,Yes,37,23,High,Good
Doraemon 3: Nobi Dai no Machi SOS!,High,Yes,15,14,High,Good
Space Station Silicon Valley,High,Yes,11,16,Medium,Good
Dark Rift,Average,Yes,36,23,Medium,Good
Tokyo Xanadu,High,No,28,30,Medium,Good
All-Star Baseball 2003,Average,No,30,24,Medium,Good
Burger Island,High,Yes,39,19,Medium,Good
Petz: Dogz Talent Show,High,Yes,30,27,Medium,Good
T'ai Fu: Wrath of the Tiger,High,Yes,20,17,Low,Good
Rocky,High,No,20,36,Medium,Bad
Ford Racing 2,High,Yes,37,30,Medium,Good
Odin Sphere: Leifthrasir,Average,Yes,36,34,High,Good
Sam & Max: Season One,High,No,22,26,High,Good
Virtua Tennis 4,High,Yes,26,23,Medium,Good
Tetris Attack,Low,No,50,23,High,Bad
Candace Kane's Candy Factory,High,Yes,30,17,Low,Good
BloodRayne 2,High,No,25,22,Low,Good
Hot Wheels: Beat That!,High,Yes,46,10,Medium,Good
Soldier of Fortune: Payback,Average,No,24,10,Low,Good
Jaws Unleashed,Average,Yes,30,23,Low,Good
Pro Yaky? Spirits 6,High,No,26,18,Low,Good
Star Trek: Voyager Elite Force,High,Yes,37,20,Low,Good
X-Men: The Official Game,High,No,21,26,Medium,Good
Brain Boost: Gamma Wave,Average,Yes,44,16,Low,Good
Scarface: The World is Yours,High,No,42,19,Medium,Good
Rock Band: Metal Track Pack,Average,No,31,27,Low,Good
Chessmaster II,High,No,47,31,Medium,Good
All-Star Baseball 2003,High,Yes,16,29,High,Good
Scooby-Doo! Mystery Mayhem,High,No,24,13,Medium,Good
Winning Post 4,High,No,49,33,Low,Good
Major League Baseball 2K13,High,No,50,26,High,Good
DreamWorks Super Star Kartz,High,Yes,31,19,Low,Good
Pro Baseball Spirits 2015,High,Yes,32,20,Medium,Good
187: Ride or Die,Average,No,40,38,Medium,Good
Curious George,Average,Yes,18,11,Medium,Bad
Strawberry Shortcake: Game Boy Advance Video Volume 1,Low,Yes,48,13,Low,Bad
Armored Core: For Answer,High,Yes,30,39,Low,Good
Geist,Low,No,10,27,Medium,Bad
eJay Clubworld,Low,No,34,36,Medium,Bad
Cardinal Syn,Low,No,22,38,Low,Bad
Charm Girls Club: Pajama Party,Average,Yes,45,23,High,Good
Street Fighter Alpha 3,High,Yes,28,31,Medium,Good
The Wizard of Oz: Beyond The Yellow Brick Road,Low,No,36,29,Low,Bad
Mobile Suit Gundam Side Story III: Sabakareshi Mono,Low,No,19,28,Low,Bad
Ridge Racer DS,Average,Yes,20,24,Medium,Bad
Warriors Orochi 3,High,No,11,16,Low,Bad
Nancy Drew: The White Wolf of Icicle Creek,Average,No,32,16,High,Good
Super Street Fighter II,High,Yes,43,33,Low,Good
Metal Gear Solid: Peace Walker HD Edition,Average,No,15,14,Medium,Bad
Battle Stadium D.O.N,High,No,43,12,Medium,Good
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,High,Yes,28,19,Medium,Good
Brain Boost: Beta Wave,Low,No,14,37,Low,Bad
Power Pro Kun Pocket 9,High,Yes,38,22,Low,Good
Rubik's World,High,Yes,39,35,Medium,Good
Gallop & Ride!,High,Yes,38,28,Low,Good
Shenmue II,Average,No,27,22,Low,Good
Major League Baseball 2K8,Average,No,23,40,Medium,Good
Capcom Classics Collection,High,Yes,11,30,High,Good
Fugitive Hunter: War on Terror,High,Yes,21,12,Medium,Good
The Incredible Hulk: Ultimate Destruction,Average,Yes,15,26,Medium,Bad
Prince of Persia: The Two Thrones,High,No,47,26,Low,Good
Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,Low,Yes,34,18,High,Bad
Baseball Blast!,Low,No,41,36,Medium,Bad
Pac-Man World 3,High,No,44,27,High,Good
The Walking Dead: Season Two,High,Yes,44,30,High,Good
Harvest Moon: Hero of Leaf Valley,High,No,24,24,High,Good
Phantasy Star Online Episode I & II,Low,Yes,24,25,Medium,Bad
F1 2012,Low,Yes,36,37,High,Bad
All-Star Baseball 2005,High,No,43,10,Medium,Good
Rayman Raving Rabbids,Average,Yes,39,18,Medium,Good
Kung-Fu: High Impact,High,Yes,33,35,Low,Good
SNK Arcade Classics Vol. 1,Average,Yes,26,34,Low,Good
Darkstalkers Chronicle: The Chaos Tower,Average,Yes,12,15,Low,Bad
NHL 2K10,High,No,32,32,High,Good
Batman Begins,High,Yes,15,28,Low,Good
Toy Story Racer,High,Yes,26,19,High,Good
Yakuza: Ishin,Average,No,40,25,Medium,Good
F1 2011,Average,Yes,36,28,Medium,Good
Disney's Donald Duck: Goin' Quackers,Low,No,19,25,Medium,Bad
Mobile Suit Gundam: Perfect One Year War,Average,No,14,35,Medium,Bad
Galerians,High,Yes,25,29,High,Good
Crash: Twinsanity,Low,Yes,36,16,Medium,Bad
DrumMania,High,Yes,49,19,High,Good
Yu-Gi-Oh! Nightmare Troubadour (US sales),High,No,44,36,High,Good
Code:Realize - Sousei no Himegimi,High,Yes,31,22,Low,Good
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,High,Yes,38,14,Medium,Good
Deus Ex: Mankind Divided,High,Yes,27,24,Low,Good
